,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
52,Jules Koundé,https://img.a.transfermarkt.technology/portrait/small/411975-1525683142.jpg?lm=1,60,Defensa central,23,Sevilla FC,https://tmssl.akamaized.net/images/wappen/verysmall/368.png?lm=1408655455,"['Francia', 'Benín']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/21.png?lm=1520611569']",35,1,1,2.936,2.936,,
53,Victor Osimhen,https://img.a.transfermarkt.technology/portrait/small/401923-1570439308.jpg?lm=1,60,Delantero centro,23,SSC Nápoles,https://tmssl.akamaized.net/images/wappen/verysmall/6195.png?lm=1437135876,['Nigeria'],['https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569'],25,15,4,118,1.773,,
54,Éder Militão,https://img.a.transfermarkt.technology/portrait/small/401530-1568189259.jpg?lm=1,60,Defensa central,24,Real Madrid CF,https://tmssl.akamaized.net/images/wappen/verysmall/418.png?lm=1580722449,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],39,2,2,1.767,3.534,,
55,Diogo Jota,https://img.a.transfermarkt.technology/portrait/small/340950-1633340107.jpg?lm=1,60,Delantero centro,25,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],39,19,3,142,2.691,,
56,Alessandro Bastoni,https://img.a.transfermarkt.technology/portrait/small/315853-1630304611.jpg?lm=1,60,Defensa central,22,Inter de Milán,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],36,1,3,2.891,2.891,,
57,Marcos Llorente,https://img.a.transfermarkt.technology/portrait/small/282411-1603712126.jpg?lm=1,60,Mediocentro,27,Atlético de Madrid,https://tmssl.akamaized.net/images/wappen/verysmall/13.png?lm=1519120744,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],30,,3,,2.406,,
58,Wilfred Ndidi,https://img.a.transfermarkt.technology/portrait/small/274839-1641900364.jpg?lm=1,60,Pivote,25,Leicester City,https://tmssl.akamaized.net/images/wappen/verysmall/1003.png?lm=1472229265,['Nigeria'],['https://tmssl.akamaized.net/images/flagge/verysmall/124.png?lm=1520611569'],31,2,1,1.293,2.585,,
59,Kingsley Coman,https://img.a.transfermarkt.technology/portrait/small/243714-1540568692.jpg?lm=1,60,Extremo derecho,25,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Francia', 'Guadalupe']","['https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/251.png?lm=1520611569']",26,7,6,232,1.623,,
60,Fabinho,https://img.a.transfermarkt.technology/portrait/small/225693-1580133493.jpg?lm=1,60,Pivote,28,Liverpool FC,https://tmssl.akamaized.net/images/wappen/verysmall/31.png?lm=1456567819,['Brasil'],['https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569'],35,6,1,464,2.783,,
61,João Cancelo,https://img.a.transfermarkt.technology/portrait/small/182712-1615221629.jpg?lm=1,60,Lateral derecho,27,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['Portugal'],['https://tmssl.akamaized.net/images/flagge/verysmall/136.png?lm=1520611569'],39,3,8,1.141,3.422,,
